,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
96,Blackie Towery\towerbl01,2,1949,1950,128,,425,1449,,,348,465,,,313,,,,487,1198,0.293,,0.748,,9.4,,2.4,Jun 20 1920,Caldwell
97,Jim Tucker\tuckeji01,3,1955,1957,99,1301,157,450,,,93,122,,349,52,,,,242,407,0.349,,0.762,13.1,4.1,3.5,0.5,Dec 11 1932,Paris
98,Jack Turner\turneja02,1,1962,1962,42,567,84,221,,,32,42,,85,44,,,,51,200,0.38,,0.762,13.5,4.8,2,1,Jun 5 1939,Newport
99,Melvin Turpin\turpime01,5,1985,1990,361,6871,1297,2513,1,9,476,613,575,1655,183,155,348,431,853,3071,0.516,0.111,0.777,19,8.5,4.6,0.5,Dec 28 1960,Lexington
100,Charlie Tyra\tyrach01,5,1958,1962,348,7811,1213,3131,,,665,990,,2567,315,,,,987,3091,0.387,,0.672,22.4,8.9,7.4,0.9,Aug 16 1935,Louisville
101,Wes Unseld*\unselwe01,13,1969,1981,984,35832,4369,8586,3,6,1883,2976,2085,13769,3822,628,367,579,2762,10624,0.509,0.5,0.633,36.4,10.8,14,3.9,Mar 14 1946,Louisville
102,Virgil Vaughn\vaughvi01,1,1947,1947,17,,15,78,,,15,28,,,10,,,,18,45,0.192,,0.536,,2.6,,0.6,May 15 1918,Webster County
103,Paul Walther\walthpa01,6,1950,1955,370,7258,968,2671,,,902,1274,,1168,974,,,,1069,2838,0.362,,0.708,28.6,7.7,3.7,2.6,Mar 23 1927,Covington
104,Bob Warren\warrebo01,8,1969,1976,486,9908,1527,3471,96,367,1197,1494,688,1546,898,65,28,832,1123,4347,0.44,0.262,0.801,20.4,8.9,3.2,1.8,Jul 17 1946,Murray
105,P.J. Washington\washipj01,1,2020,2020,58,1759,268,589,86,230,88,136,58,316,123,51,44,93,158,710,0.455,0.374,0.647,30.3,12.2,5.4,2.1,Aug 23 1998,Louisville
106,Bobby Watson\watsobo01,1,1955,1955,63,702,72,223,,,31,45,,87,79,,,,67,175,0.323,,0.689,11.1,2.8,1.4,1.3,Mar 22 1930,Central City
107,Bubba Wells\wellsbu01,1,1998,1998,39,395,48,116,1,6,31,43,22,68,34,15,4,31,40,128,0.414,0.167,0.721,10.1,3.3,1.7,0.9,Jul 26 1974,Russellville
108,DeJuan Wheat\wheatde01,2,1998,1999,80,740,93,243,30,77,49,70,14,56,127,32,3,57,71,265,0.383,0.39,0.7,9.3,3.3,0.7,1.6,Oct 14 1973,Louisville
109,Chris Whitney\whitnch01,11,1994,2004,579,10052,1227,3110,552,1528,732,837,97,815,1613,351,32,619,984,3738,0.395,0.361,0.875,17.4,6.5,1.4,2.8,Oct 5 1971,Hopkinsville
110,Rick Wilson\wilsori01,2,1979,1980,66,648,83,211,0,0,28,50,22,79,83,34,9,49,69,194,0.393,,0.56,9.8,2.9,1.2,1.3,Feb 7 1956,Louisville
111,Howie Wright\wrighho01,2,1971,1972,53,616,94,245,9,42,40,50,23,80,63,,,60,89,237,0.384,0.214,0.8,11.6,4.5,1.5,1.2,Feb 22 1947,Louisville
