,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
126,Lewis Lloyd\lloydle01,7,1982,1990,388,9406,2172,4144,10,47,776,1006,488,1192,1138,365,133,820,833,5130,0.524,0.213,0.771,24.2,13.2,3.1,2.9,Feb 22 1959,Philadelphia
127,Kyle Lowry\lowryky01,14,2007,2020,908,28682,4289,10136,1685,4602,3118,3854,734,3905,5623,1226,263,2101,2468,13381,0.423,0.366,0.809,31.6,14.7,4.3,6.2,Mar 25 1986,Philadelphia
128,Maurice Lucas\lucasma01,14,1975,1988,1021,30112,5928,12580,9,63,2992,3911,2698,9306,2498,803,659,2316,3498,14857,0.471,0.143,0.765,29.5,14.6,9.1,2.4,Feb 18 1952,Pittsburgh
129,Pete Maravich*\maravpe01,10,1971,1980,658,24316,6187,14025,10,15,3564,4344,426,2747,3563,587,108,530,1865,15948,0.441,0.667,0.82,37,24.2,4.2,5.4,Jun 22 1947,Aliquippa
130,Press Maravich\maravpr01,1,1947,1947,51,,102,375,,,30,58,,,6,,,,102,234,0.272,,0.517,,4.6,,0.1,Aug 29 1915,Logstown
131,Jack Marin\marinja01,11,1967,1977,849,24590,5068,10890,,,2405,2852,259,4405,1813,155,59,,2416,12541,0.465,,0.843,29,14.8,5.2,2.1,Oct 12 1944,Sharon
132,Donyell Marshall\marshdo01,15,1995,2009,957,25027,4096,9410,902,2578,1622,2219,1898,6376,1305,790,848,1292,2173,10716,0.435,0.35,0.731,26.2,11.2,6.7,1.4,May 18 1973,Reading
133,Eddie Mast\masted01,3,1971,1973,112,881,114,296,,,55,91,,265,51,,,,114,283,0.385,,0.604,7.9,2.5,2.4,0.5,Oct 3 1948,Philadelphia
134,Tahjere McCall\mccalta01,1,2019,2019,1,8,2,3,0,1,0,1,0,1,0,0,0,0,2,4,0.667,0,0,8,4,1,0,Aug 17 1994,Philadelphia
135,Andre McCarter\mccaran01,3,1977,1981,103,1182,170,394,2,8,50,69,32,95,172,37,0,24,100,392,0.431,0.25,0.725,11.5,3.8,0.9,1.7,Aug 25 1953,Philadelphia
136,Jack McCloskey\mccloja01,1,1953,1953,1,16,3,9,,,0,0,,3,1,,,,2,6,0.333,,,16,6,3,1,Sep 19 1925,Mahanoy City
137,T.J. McConnell\mccontj01,5,2016,2020,377,8103,1071,2178,88,263,189,243,179,1064,1778,444,61,588,549,2419,0.492,0.335,0.778,21.5,6.4,2.8,4.7,Mar 25 1992,Pittsburgh
