,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
310,Lorenzo Romar\romarlo01,5,1981,1985,291,5188,720,1553,19,90,272,363,66,385,1022,244,29,350,393,1731,0.464,0.211,0.749,17.8,5.9,1.3,3.5,Nov 13 1958,South Gate
311,John Rudometkin\rudomjo01,3,1963,1965,131,1644,314,787,,,194,261,,412,72,,,,198,822,0.399,,0.743,12.5,6.3,3.1,0.5,Jun 6 1940,Santa Maria
312,Paul Ruffner\ruffnpa01,5,1971,1976,133,1278,232,493,0,0,97,141,135,393,61,4,4,69,220,561,0.471,,0.688,9.6,4.2,3,0.5,Oct 15 1948,Downey
313,Bob Rule\rulebo01,8,1968,1975,403,11862,2777,6029,,,1453,2119,43,3333,594,12,10,,1260,7007,0.461,,0.686,29.4,17.4,8.3,1.5,Jun 29 1944,Riverside
314,Bryon Russell\russebr01,13,1994,2006,841,19805,2274,5272,685,1856,1430,1906,752,2914,1085,874,203,835,1984,6663,0.431,0.369,0.75,23.5,7.9,3.5,1.3,Dec 31 1970,San Bernardino
315,Jamal Sampson\sampsja01,5,2003,2007,72,631,53,108,0,1,36,67,80,242,26,9,32,33,91,142,0.491,0,0.537,8.8,2,3.4,0.4,May 15 1983,Inglewood
316,Alan Sawyer\sawyeal01,1,1951,1951,33,,87,235,,,43,50,,121,25,,,,75,217,0.37,,0.86,,6.6,3.7,0.8,Jan 1 1928,Long Beach
317,Brian Scalabrine\scalabr01,11,2002,2012,520,6772,590,1512,180,523,234,299,275,1034,436,157,121,341,819,1594,0.39,0.344,0.783,13,3.1,2,0.8,Mar 18 1978,Long Beach
318,Fred Scolari\scolafr01,9,1947,1955,534,6573,2132,6651,,,1750,2139,,857,1406,,,,1482,6014,0.321,,0.818,26.4,11.3,2.7,2.6,Mar 1 1922,San Francisco
319,Paul Scranton\scranpa01,1,1968,1968,5,41,4,9,0,0,1,4,,16,1,,,1,5,9,0.444,,0.25,8.2,1.8,3.2,0.2,Apr 30 1944,Los Angeles
320,Kenny Sears\searske01,8,1956,1964,529,14923,2465,5420,,,2425,2937,,4142,843,,,,1470,7355,0.455,,0.826,28.2,13.9,7.8,1.6,Aug 17 1933,Watsonville
321,Jim Seminoff\seminji01,4,1947,1950,231,,535,1737,,,437,642,,,630,,,,609,1507,0.308,,0.681,,6.5,,2.7,Sep 1 1922,Los Angeles
322,Brian Shaw\shawbr01,14,1989,2003,943,21666,2589,6419,431,1416,938,1199,773,3183,3918,747,252,1664,1949,6547,0.403,0.304,0.782,23,6.9,3.4,4.2,Mar 22 1966,Oakland
323,Lonnie Shelton\sheltlo01,10,1977,1986,673,18530,3416,6950,3,31,1214,1646,1415,4136,1459,739,559,1284,2540,8049,0.492,0.097,0.738,27.5,12,6.1,2.2,Oct 19 1955,Bakersfield
324,Jose Slaughter\slaugjo01,1,1983,1983,63,515,89,238,9,41,38,59,34,68,52,36,7,42,93,225,0.374,0.22,0.644,8.2,3.6,1.1,0.8,Sep 9 1960,Los Angeles
325,Craig Smith\smithcr01,6,2007,2012,403,6826,1221,2207,1,27,637,963,543,1567,322,183,91,413,957,3080,0.553,0.037,0.661,16.9,7.6,3.9,0.8,Nov 10 1983,Inglewood
326,Greg Smith\smithgr02,5,2012,2016,149,1834,243,394,0,1,110,191,165,489,41,32,59,65,290,596,0.617,0,0.576,12.3,4,3.3,0.3,Jan 8 1991,Vallejo
