,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
132,Danny Young\youngda01,10,1985,1995,574,9536,984,2253,194,594,460,551,168,709,1674,507,37,472,536,2622,0.437,0.327,0.835,16.6,4.6,1.2,2.9,Jul 26 1962,Raleigh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You are here: BBR Home Page > Frivolities > NBA & ABA Players Born in North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full Site Menu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return to Top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In the News: L. James, R. Westbrook, J. Harden, L. Dončić, C. Paul, Z. Williamson ...,,,,,,,,,,,,,,,,,,,,,,,,
All-Time Greats: D. Robinson, E. Hayes, A. Iverson, M. Johnson, D. Wade, T. Duncan ...,,,,,,,,,,,,,,,,,,,,,,,,
Active Greats: C. Paul, L. James, J. Harden, L. James, R. Westbrook, K. Durant ...,,,,,,,,,,,,,,,,,,,,,,,,
Teams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic: Toronto, Boston, New York, Brooklyn, Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,
Central: Cleveland, Indiana, Detroit, Chicago, Milwaukee,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast: Miami, Atlanta, Charlotte, Washington, Orlando,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest: Oklahoma City, Portland, Utah, Denver, Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific: Golden State, Los Angeles Clippers, Sacramento, Phoenix, Los Angeles Lakers,,,,,,,,,,,,,,,,,,,,,,,,,
Southwest: San Antonio, Dallas, Memphis, Houston, New Orleans,,,,,,,,,,,,,,,,,,,,,,,,,
Seasons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20, 2018-19, 2017-18, 2016-17, 2015-16, 2014-15,,,,,,,,,,,,,,,,,,,,,,,,
Leaders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season Points, Career Rebounds, Active Assists, Yearly Steals, Progressive Blocks ...,,,,,,,,,,,,,,,,,,,,,,,,,
Or," view ""Trailers"" for Season Field Goal Pct", or Career Blocks Per Game,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA Scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yesterday's Games and Scores from any date in BAA/NBA or ABA history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA Schedules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Schedules and League Schedules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA Standings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Today's Standings and Standings for any date in history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Play Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Player Finders: Season Finder, Game Finder, Streak Finder,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team Finders: Season Finder, Game Finder, Team Streak Finder, Team Score Finder, Team Rivalry Finder,,,,,,,,,,,,,,,,,,,,,,,,,
Other Finders: Draft Finder, Head2Head Finder, Player Comparison Finder,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coaches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richie Guerin, Rudy Tomjanovich, Jim O'Brien, Mike Fratello, Alvin Gentry,,,,,,,,,,,,,,,,,,,,,,,,,
Awards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBA MVP, All-NBA, Defensive Player of the Year, Rookie of the Year, All-Rookie, Hall of Fame ...,,,,,,,,,,,,,,,,,,,,,,,,
NBA Contracts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Index, Team Payrolls, Player Contracts, Glossary, ...,,,,,,,,,,,,,,,,,,,,,,,,,
Playoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 NBA Playoffs, 2018 NBA Playoffs, 2017 NBA Playoffs, 2016 NBA Playoffs, Playoffs Series History ...,,,,,,,,,,,,,,,,,,,,,,,,,
All-Star Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 All-Star Game, 2019 All-Star Game, 2018 All-Star Game, 2017 All-Star Game, ...,,,,,,,,,,,,,,,,,,,,,,,,,
NBA Draft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Draft, 2018 Draft, 2017 Draft, 2016 Draft, 2015 Draft, ...,,,,,,,,,,,,,,,,,,,,,,,,
Frivolities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birthdays, Colleges, High Schools, Milestone Watch ...,,,,,,,,,,,,,,,,,,,,,,,,,,
Executives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.C. Buford, Wayne Embry, Stan Kasten, Danny Ainge, Don Nelson ...,,,,,,,,,,,,,,,,,,,,,,,,,
Referees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Forte, Tony Brothers, Dan Crawford, Ron Olesiak, David Jones ...,,,,,,,,,,,,,,,,,,,,,,,,,
G League Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players, Teams, Seasons, Leaders, Awards ...,,,,,,,,,,,,,,,,,,,,,,,,,
International Basketball Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players, Teams, Seasons, Leaders, Awards ...,,,,,,,,,,,,,,,,,,,,,,,,,
WNBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players, Teams, Seasons, Leaders, Awards ...,,,,,,,,,,,,,,,,,,,,,,,,,
Olympics Stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athletes, Teams, Years, Games, ...,,,,,,,,,,,,,,,,,,,,,,,,,
NBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Players, Teams, Seasons, Leaders, Awards ...,,,,,,,,,,,,,,,,,,,,,,,,,
About,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glossary, Contact and Media Information, ...,,,,,,,,,,,,,,,,,,,,,,,,,,,
We're Social...for Statheads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
