,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
135,Johnny Jorgensen\jorgejo01,2,1948,1949,51,,45,123,,,25,34,,,33,,,,70,115,0.366,,0.735,,2.3,,0.6,Dec 28 1921,Chicago
136,Whitey Kachan\kachawh01,1,1949,1949,52,,38,142,,,36,56,,,37,,,,81,112,0.268,,0.643,,2.2,,0.7,Sep 15 1925,Chicago
137,Frank Kaminsky\kaminfr01,5,2016,2020,314,6970,1107,2620,377,1081,519,693,241,1280,523,145,118,274,497,3110,0.423,0.349,0.749,22.2,9.9,4.1,1.7,Apr 4 1993,Lisle
138,Wilbert Kautz\kautzwi01,1,1947,1947,50,,107,420,,,39,73,,,37,,,,114,253,0.255,,0.534,,5.1,,0.7,Sep 7 1915,Chicago
139,Red Kerr\kerrre01,12,1955,1966,905,27784,4909,11751,,,2662,3682,,10092,2004,,,,2287,12480,0.418,,0.723,30.7,13.8,11.2,2.2,Jul 17 1932,Chicago
140,Jack Kerris\kerrija01,4,1950,1953,271,3572,691,1906,,,675,1020,,1286,667,,,,858,2057,0.363,,0.662,26.5,7.6,6.3,2.5,Jan 30 1925,Chicago
141,Walt Kirk\kirkwa01,3,1949,1952,118,396,265,868,,,377,525,,44,249,,,,329,907,0.305,,0.718,36,7.7,4,2.1,Sep 3 1924,Mount Vernon
142,John Konchar\konchjo01,1,2020,2020,15,167,23,35,4,9,1,2,18,46,21,7,3,6,7,51,0.657,0.444,0.5,11.1,3.4,3.1,1.4,Mar 22 1996,Chicago
143,Tom Kondla\kondlto01,1,1969,1969,42,353,58,145,0,1,22,46,45,125,13,,,23,56,138,0.4,0,0.478,8.4,3.3,3,0.3,Nov 30 1946,Brookfield
144,Ronald Kozlicki\kozliro01,1,1968,1968,37,354,41,121,6,29,21,34,,69,14,,,19,31,109,0.339,0.207,0.618,9.6,2.9,1.9,0.4,Dec 12 1944,Chicago
145,Steve Kuberski\kuberst01,9,1970,1978,568,7897,1254,3005,,,606,790,315,2146,338,38,28,2,915,3114,0.417,,0.767,13.9,5.5,3.8,0.6,Nov 6 1947,Moline
146,C.J. Kupec\kupeccj01,3,1976,1978,147,1589,247,579,,,112,145,107,313,108,31,7,24,174,606,0.427,,0.772,10.8,4.1,2.1,0.7,Jan 16 1953,Oak Lawn
147,Bob Lackey\lackebo01,2,1973,1974,71,1200,156,362,2,5,99,167,63,164,137,1,0,121,172,413,0.431,0.4,0.593,16.9,5.8,2.3,1.9,Apr 4 1949,Evanston
148,Sean Lampley\lamplse01,2,2003,2004,45,550,69,149,0,4,65,94,28,94,33,7,4,28,45,203,0.463,0,0.691,12.2,4.5,2.1,0.7,Sep 3 1979,Harvey
149,Dan Langhi\langhda01,4,2001,2004,133,1253,172,440,11,38,38,62,54,199,39,30,12,35,106,393,0.391,0.289,0.613,9.4,3,1.5,0.3,Nov 28 1977,Chicago
150,Priest Lauderdale\laudepr01,2,1997,1998,74,525,102,216,0,1,51,92,43,143,33,8,26,83,102,255,0.472,0,0.554,7.1,3.4,1.9,0.4,Aug 31 1973,Chicago
151,Bob Lavoy\lavoybo01,4,1951,1954,264,5433,821,2139,,,514,727,,1634,391,,,,889,2156,0.384,,0.707,27,8.2,6.2,1.5,Jun 29 1926,Aurora
152,Vic Law\lawvi01,1,2020,2020,5,9,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1.8,0,0.2,0,Dec 19 1995,South Holland
153,Doug Lee\leedo01,3,1992,1995,73,415,61,148,18,58,28,40,17,42,32,17,5,20,64,168,0.412,0.31,0.7,5.7,2.3,0.6,0.4,Oct 24 1964,Washington
154,Walt Lemon\lemonwa01,2,2018,2019,11,202,45,103,3,6,10,14,4,29,35,11,2,14,19,103,0.437,0.5,0.714,18.4,9.4,2.6,3.2,Jul 26 1992,Chicago
155,Gary Leonard\leonaga01,3,1990,1992,31,149,17,37,0,1,10,20,13,34,2,4,10,9,31,44,0.459,0,0.5,4.8,1.4,1.1,0.1,Feb 16 1967,Belleville
156,Meyers Leonard\leoname01,8,2013,2020,442,7082,952,1969,322,822,257,316,318,1718,391,82,127,303,956,2483,0.483,0.392,0.813,16,5.6,3.9,0.9,Feb 27 1992,Robinson
157,Jim Les\lesji01,7,1989,1995,321,4222,372,938,196,495,270,330,86,396,930,169,20,295,421,1210,0.397,0.396,0.818,13.2,3.8,1.2,2.9,Aug 18 1963,Niles
158,Marcus Liberty\liberma01,4,1991,1994,267,4568,783,1877,66,194,310,467,418,925,244,189,73,264,495,1942,0.417,0.34,0.664,17.1,7.3,3.5,0.9,Oct 27 1968,Chicago
159,DeAndre Liggins\liggide01,5,2012,2018,177,1907,129,321,43,122,45,82,47,252,122,108,31,86,201,346,0.402,0.352,0.549,10.8,2,1.4,0.7,Mar 31 1988,Chicago
160,Shaun Livingston\livinsh01,14,2005,2019,833,17188,2149,4419,13,73,920,1159,491,1989,2483,586,311,1034,1498,5231,0.486,0.178,0.794,20.6,6.3,2.4,3,Sep 11 1985,Peoria
161,Scott Lloyd\lloydsc01,6,1977,1983,372,5638,647,1521,2,7,398,554,422,1114,356,100,73,304,823,1694,0.425,0.286,0.718,15.2,4.6,3,1,Dec 19 1952,Chicago
162,Lonnie Lynn\lynnlo01,1,1970,1970,52,779,112,275,0,3,36,74,83,258,43,,,68,120,260,0.407,0,0.486,15,5,5,0.8,May 24 1943,Chicago
163,Sam Mack\macksa01,7,1993,2002,259,5028,713,1781,329,879,256,308,109,533,336,164,37,220,459,2011,0.4,0.374,0.831,19.4,7.8,2.1,1.3,May 26 1970,Chicago
164,Corey Maggette\maggeco01,14,2000,2013,827,23358,4065,8969,463,1431,4605,5599,915,4022,1696,590,139,1874,2338,13198,0.453,0.324,0.822,28.2,16,4.9,2.1,Nov 12 1979,Melrose Park
165,Renaldo Major\majorre01,1,2007,2007,1,27,2,10,0,0,1,2,0,2,0,2,0,1,4,5,0.2,,0.5,27,5,2,0,May 7 1982,Chicago
166,Shawn Marion\mariosh01,16,2000,2015,1163,40097,7289,15056,791,2390,2331,2877,2732,10101,2198,1759,1233,1750,2535,17700,0.484,0.331,0.81,34.5,15.2,8.7,1.9,May 7 1978,Waukegan
