,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Birth,Birth
Rk,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Date,City
165,Ed Smith\smithed01,1,1954,1954,12,127,14,49,,,7,13,,32,10,,,,17,35,0.286,,0.538,10.6,2.9,2.7,0.8,Jul 5 1929,West Jefferson
166,Jim Smith\smithji01,2,1982,1983,76,876,89,173,0,0,41,89,72,187,46,22,51,47,189,219,0.514,,0.461,11.5,2.9,2.5,0.6,Apr 12 1958,Cleveland
167,Eric Snow\snower01,13,1996,2008,846,23132,2144,5054,55,265,1448,1897,419,2141,4245,975,105,1391,2013,5791,0.424,0.208,0.763,27.3,6.8,2.5,5,Apr 24 1973,Canton
168,Dick Snyder\snydedi01,13,1967,1979,964,25676,4890,10019,,,1975,2398,248,2732,2767,300,157,84,2453,11755,0.488,,0.824,26.6,12.2,2.8,2.9,Feb 1 1944,North Canton
169,Dave Sorenson\sorenda01,3,1971,1973,213,3857,690,1562,,,354,455,,997,280,,,,408,1734,0.442,,0.778,18.1,8.1,4.7,1.3,Jul 8 1948,Findlay
170,Omari Spellman\spellom01,2,2019,2020,95,1691,225,539,87,238,105,137,149,413,94,59,49,85,130,642,0.417,0.366,0.766,17.8,6.8,4.3,1,Jul 21 1997,Cleveland
171,Jared Sullinger\sullija01,5,2013,2017,269,6532,1172,2685,141,518,408,564,684,2006,477,180,161,332,784,2893,0.436,0.272,0.723,24.3,10.8,7.5,1.8,Mar 4 1992,Columbus
172,Larry Sykes\sykesla01,1,1996,1996,1,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,,,,2,0,2,0,Apr 11 1973,Toledo
173,Carl Thomas\thomaca01,3,1992,1998,63,534,70,176,23,73,18,28,13,60,28,24,8,25,49,181,0.398,0.315,0.643,8.5,2.9,1,0.4,Oct 3 1969,Dayton
174,Charles Thomas\thomach01,1,1992,1992,36,156,18,51,2,17,10,15,6,22,22,4,1,17,20,48,0.353,0.118,0.667,4.3,1.3,0.6,0.6,Oct 3 1969,Dayton
175,LaSalle Thompson\thompla01,15,1983,1997,985,21238,3136,6376,4,26,1530,2075,2123,6689,1139,741,972,1646,3143,7806,0.492,0.154,0.737,21.6,7.9,6.8,1.2,Jun 23 1961,Cincinnati
176,Nate Thurmond*\thurmna01,14,1964,1977,964,35881,5521,13105,,,3395,5089,744,14464,2575,125,553,,2624,14437,0.421,,0.667,37.2,15,15,2.7,Jul 25 1941,Akron
177,Hal Tidrick\tidriha01,1,1949,1949,61,,194,616,,,164,205,,,101,,,,191,552,0.315,,0.8,,9,,1.7,Apr 4 1915,
178,Gary Trent\trentga02,2,2019,2020,68,1170,165,400,83,222,33,43,21,99,55,40,15,23,73,446,0.413,0.374,0.767,17.2,6.6,1.5,0.8,Jan 18 1999,Columbus
179,Gary Trent\trentga01,9,1996,2004,506,9866,1792,3580,4,50,778,1210,842,2276,504,223,174,599,1096,4366,0.501,0.08,0.643,19.5,8.6,4.5,1,Sep 22 1974,Columbus
180,Al Tucker\tuckeal01,5,1968,1972,352,7478,1439,3157,33,89,630,866,110,1740,342,,,154,812,3541,0.456,0.371,0.727,21.2,10.1,4.9,1,Feb 24 1943,Dayton
181,Norm Van Lier\vanlino01,10,1970,1979,746,26171,3313,8003,,,2144,2749,540,3596,5217,767,71,249,2661,8770,0.414,,0.78,35.1,11.8,4.8,7,Apr 1 1947,East Liverpool
182,Claude Virden\virdecl01,1,1973,1973,31,825,130,327,0,2,46,59,49,154,74,,,49,84,306,0.398,0,0.78,26.6,9.9,5,2.4,Nov 25 1947,Akron
183,Granville Waiters\waitegr01,5,1984,1988,249,2547,270,589,0,5,66,118,183,540,121,56,185,153,410,606,0.458,0,0.559,10.2,2.4,2.2,0.5,Jan 8 1961,Columbus
184,Neal Walk\walkne01,8,1970,1977,568,13832,2928,6386,,,1301,1717,429,4392,1214,140,105,,1788,7157,0.459,,0.758,24.4,12.6,7.7,2.1,Jul 29 1948,Cleveland
185,Samaki Walker\walkesa01,10,1997,2006,445,7612,936,2026,1,9,503,798,627,2089,252,134,316,403,895,2376,0.462,0.111,0.63,17.1,5.3,4.7,0.6,Feb 25 1976,Columbus
186,Dick Wehr\wehrdi01,1,1949,1949,9,,5,21,,,2,6,,,3,,,,12,12,0.238,,0.333,,1.3,,0.3,Dec 9 1925,Caldwell
187,Chuckie Williams\willich03,1,1977,1977,22,65,14,47,,,9,12,3,4,7,1,0,,7,37,0.298,,0.75,3,1.7,0.2,0.3,Dec 31 1953,Columbus
188,Herb Williams\willihe01,18,1982,1999,1102,28484,5037,10781,8,84,1862,2675,1624,6509,1856,605,1605,1929,2876,11944,0.467,0.095,0.696,25.8,10.8,5.9,1.7,Feb 16 1958,Columbus
189,Jawad Williams\willija04,3,2009,2011,90,1153,127,344,45,144,41,57,24,133,56,22,8,35,109,340,0.369,0.313,0.719,12.8,3.8,1.5,0.6,Feb 19 1983,Cleveland
190,Chris Wright\wrighch01,2,2012,2014,32,312,44,80,0,1,30,46,29,65,9,14,18,13,39,118,0.55,0,0.652,9.8,3.7,2,0.3,Sep 30 1988,Trotwood
191,Rich Yonakor\yonakri01,1,1982,1982,10,70,14,26,0,0,5,7,13,27,3,1,2,2,7,33,0.538,,0.714,7,3.3,2.7,0.3,Oct 3 1958,Euclid
