Player,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,City,State,2019-20
Tyus Jones,23,MEM,65,1232,15.7,0.532,0.289,0.135,0.8,7.9,4.4,31.7,2.2,0.4,10.8,17.2,2.0,1.0,3.0,0.115,0.4,0.1,0.6,0.8,Burnsville,Minnesota,8408000
DeAndre Jordan,31,BRK,56,1234,20.0,0.682,0.0,0.425,12.1,34.2,23.4,12.8,0.7,3.5,17.8,14.1,3.0,2.3,5.3,0.204,1.1,1.8,2.8,1.5,Houston,Texas,9881598
Frank Kaminsky,26,PHO,32,718,14.5,0.5539999999999999,0.401,0.315,4.6,20.2,12.2,14.8,0.9,1.2,9.4,20.8,0.8,0.6,1.4,0.092,0.2,-0.3,-0.1,0.3,Lisle,Illinois,4767000
Luke Kennard,23,DET,28,922,14.4,0.589,0.535,0.21899999999999997,1.1,11.1,6.0,19.2,0.6,0.5,10.3,19.8,1.6,0.3,1.9,0.1,1.1,-1.4,-0.3,0.4,Middletown,Ohio,3827160
Stanton Kidd,27,UTA,4,15,-13.7,0.0,0.33299999999999996,0.0,0.0,21.0,11.0,8.0,0.0,0.0,40.0,14.6,-0.1,0.0,-0.1,-0.327,-15.6,-1.3,-16.9,-0.1,Baltimore,Maryland,250000
Michael Kidd-Gilchrist,26,TOT,21,231,4.2,0.401,0.33299999999999996,0.183,5.5,20.3,12.8,8.1,0.4,1.9,16.7,14.8,-0.3,0.2,-0.2,-0.037000000000000005,-6.6,-0.9,-7.5,-0.3,Philadelphia,Pennsylvania,13000000
Brandon Knight,28,TOT,25,462,8.5,0.503,0.784,0.204,1.0,9.1,5.0,21.6,1.1,0.6,17.3,20.6,-0.2,0.1,-0.1,-0.01,-1.8,-2.7,-4.4,-0.3,Miami,Florida,15643750
Kevin Knox,20,NYK,65,1166,8.4,0.47,0.496,0.252,2.5,14.7,8.4,7.4,1.0,2.3,9.2,17.8,-0.5,0.7,0.2,0.006,-3.1,-1.1,-4.2,-0.6,Phoenix,Arizona,4380120
Luke Kornet,24,CHI,36,559,12.7,0.539,0.578,0.15,4.1,12.9,8.3,8.5,0.9,4.4,6.6,16.3,0.5,0.5,1.1,0.091,-0.9,-0.2,-1.1,0.1,Lantana,Texas,2195122
Kyle Korver,38,MIL,50,833,11.2,0.613,0.799,0.131,1.8,10.1,6.2,9.5,1.2,1.3,13.3,15.7,0.8,1.4,2.2,0.125,-0.5,0.7,0.2,0.5,Lakewood,California,3440000
Kyle Kuzma,24,LAL,54,1327,11.6,0.522,0.401,0.221,4.0,15.5,9.9,7.4,0.8,1.4,11.6,23.2,-0.2,1.6,1.4,0.052000000000000005,-2.2,-1.3,-3.5,-0.5,Flint,Michigan,1974600
Jeremy Lamb,27,IND,46,1291,14.1,0.547,0.33,0.23,2.1,14.9,8.5,10.5,2.1,1.5,8.7,19.7,0.9,1.8,2.7,0.099,-1.1,0.7,-0.4,0.5,Henrico,Virginia,10500000
