Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,City,State,2019-20
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,Reggie Bullock,28,NYK,29,19,684,4.7,11.8,0.402,1.9,5.8,0.333,2.8,5.9,0.469,0.9,1.1,0.81,0.7,2.9,3.6,2.2,1.3,0.2,1.0,2.9,12.3,Baltimore,Maryland,4000000
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,Trey Burke,27,PHI,25,0,329,6.5,13.9,0.465,1.8,4.2,0.421,4.7,9.7,0.483,1.4,2.0,0.722,1.6,2.2,3.8,5.8,0.8,0.1,1.3,2.3,16.1,Columbus,Ohio,2028594
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,Alec Burks,28,TOT,59,18,1612,6.3,15.7,0.404,2.2,6.1,0.366,4.1,9.6,0.428,5.0,5.6,0.8959999999999999,1.0,4.9,5.9,3.8,1.3,0.4,1.9,2.7,19.9,Grandview,Missouri,2320044
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,Deonte Burton,26,OKC,34,0,284,4.9,13.3,0.371,1.3,5.8,0.217,3.7,7.5,0.4920000000000001,0.8,1.5,0.5,0.8,5.3,6.1,1.4,0.6,1.3,1.8,3.5,11.9,Milwaukee,Wisconsin,1416852
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,Jimmy Butler,30,MIA,54,54,1851,6.4,14.0,0.454,0.6,2.3,0.248,5.8,11.8,0.494,7.9,9.5,0.833,1.9,5.1,7.0,6.4,1.8,0.6,2.3,1.4,21.3,Houston,Texas,32742000
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,Kentavious Caldwell-Pope,26,LAL,63,20,1603,4.9,10.5,0.472,2.0,5.0,0.394,3.0,5.5,0.5429999999999999,1.7,2.1,0.779,0.8,2.1,3.0,2.4,1.2,0.3,1.2,2.6,13.5,Thomaston,Georgia,8089282
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,DeMarre Carroll,33,TOT,21,0,231,3.3,8.4,0.389,1.1,4.2,0.259,2.2,4.2,0.519,3.7,5.6,0.667,1.7,5.6,7.3,2.8,0.6,0.6,2.5,4.4,11.4,Birmingham,Alabama,6842307
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,Jevon Carter,24,PHO,50,2,754,3.9,9.8,0.4,2.2,5.6,0.393,1.7,4.2,0.409,1.0,1.2,0.84,1.2,3.5,4.7,3.1,1.8,0.6,1.5,3.6,11.0,Maywood,Illinois,1416852
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,Vince Carter,43,ATL,60,0,876,4.4,12.5,0.35200000000000004,2.5,8.3,0.302,1.9,4.2,0.451,0.9,1.2,0.7929999999999999,0.7,4.4,5.1,2.0,0.9,1.0,1.4,3.7,12.2,Daytona Beach,Florida,2564753
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,Wendell Carter Jr.,20,CHI,43,43,1256,5.2,9.8,0.534,0.2,0.8,0.207,5.1,9.0,0.564,3.2,4.4,0.737,4.0,7.6,11.6,1.5,0.9,1.0,2.1,4.6,13.9,Atlanta,Georgia,5201400
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,Michael Carter-Williams,28,ORL,42,0,773,4.9,11.3,0.434,0.9,3.2,0.294,4.0,8.1,0.489,3.4,4.1,0.828,2.0,4.5,6.5,4.8,2.1,0.9,2.2,3.6,14.1,Hamilton,Massachusetts,2028594
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,Alex Caruso,25,LAL,58,1,1032,3.8,9.1,0.423,1.3,3.7,0.355,2.5,5.3,0.471,2.0,2.7,0.763,0.5,3.4,3.9,3.6,2.1,0.6,1.6,3.0,11.0,College Station,Texas,2750000
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,Willie Cauley-Stein,26,TOT,54,39,1097,5.7,9.9,0.579,0.0,0.0,0.0,5.7,9.9,0.581,1.3,2.2,0.606,2.8,7.6,10.3,2.3,1.6,2.0,1.3,4.0,12.8,Spearville,Kansas,2177483
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,Tyson Chandler,37,HOU,26,5,219,2.3,3.0,0.778,0.0,0.0,0.0,2.3,3.0,0.778,1.0,2.1,0.462,4.1,6.7,10.8,1.0,1.0,1.3,1.3,5.3,5.6,Hanford,California,2564753
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,Wilson Chandler,32,BRK,35,3,734,3.6,9.0,0.404,1.8,5.9,0.306,1.8,3.0,0.597,1.0,1.1,0.87,0.5,6.6,7.1,1.9,0.8,0.6,1.7,3.9,10.1,Benton Harbor,Michigan,2564753
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,Joe Chealey,24,CHO,4,0,33,0.0,7.6,0.0,0.0,4.4,0.0,0.0,3.3,0.0,2.2,2.2,1.0,0.0,0.0,0.0,1.1,4.4,0.0,2.2,2.2,2.2,Orlando,Florida,163356
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,Marquese Chriss,22,GSW,59,21,1196,6.3,11.6,0.545,0.2,1.2,0.205,6.1,10.4,0.584,3.6,4.7,0.769,3.4,7.6,11.0,3.4,1.2,1.9,2.3,3.7,16.5,Sacramento,California,758804
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,Jordan Clarkson,27,TOT,63,0,1527,8.3,17.8,0.465,3.1,8.3,0.368,5.2,9.4,0.55,2.9,3.4,0.841,1.1,2.8,3.9,2.9,1.0,0.4,1.9,2.2,22.4,Tampa,Florida,13437500
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,Nicolas Claxton,20,BRK,15,0,187,5.2,9.2,0.563,0.2,1.3,0.14300000000000002,5.0,7.9,0.634,2.1,4.0,0.524,3.7,4.8,8.5,3.1,0.2,1.5,1.7,2.7,12.7,Greenville,South Carolina,898310
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,Zach Collins,22,POR,3,3,86,3.8,8.0,0.474,1.3,2.9,0.429,2.5,5.0,0.5,2.5,2.5,1.0,1.7,3.3,5.0,2.5,0.0,0.8,2.5,4.6,11.3,Las Vegas,Nevada,4240200
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,Mike Conley,32,UTA,41,35,1171,6.1,14.9,0.405,2.5,6.5,0.376,3.6,8.4,0.429,2.9,3.6,0.795,0.8,3.3,4.1,5.5,1.0,0.1,2.3,2.8,17.4,Fayetteville,Arkansas,32511623
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,Pat Connaughton,27,MIL,61,1,1119,3.8,8.4,0.456,1.4,4.4,0.321,2.4,4.0,0.605,0.9,1.2,0.75,1.8,6.5,8.3,3.1,0.6,1.0,1.5,1.9,9.9,Arlington,Massachusetts,1723050
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,Quinn Cook,26,LAL,38,0,409,6.7,15.2,0.439,2.2,5.8,0.379,4.5,9.4,0.477,0.5,0.8,0.667,0.6,2.9,3.5,3.5,1.0,0.1,2.2,2.0,16.1,Washington,District of Columbia,3000000
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,Tyler Cook,22,CLE,11,0,35,7.2,10.3,0.7,0.0,0.0,0.0,7.2,10.3,0.7,5.1,6.2,0.833,4.1,6.2,10.3,1.0,1.0,0.0,1.0,4.1,19.5,St. Louis,Missouri,101504
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,Robert Covington,29,TOT,62,60,1867,5.4,12.5,0.4320000000000001,2.9,8.2,0.349,2.5,4.3,0.589,1.7,2.1,0.7959999999999999,1.0,6.6,7.7,1.4,1.8,1.5,1.8,3.8,15.3,Bellwood,Illinois,11301219
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,Allen Crabbe,27,TOT,37,1,653,3.5,9.8,0.35600000000000004,2.0,6.6,0.303,1.5,3.2,0.466,0.6,0.8,0.7140000000000001,0.6,3.6,4.2,1.8,0.8,0.2,0.9,2.6,9.5,Los Angeles,California,17818456
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,Torrey Craig,29,DEN,50,19,869,4.0,8.6,0.462,1.5,4.5,0.33,2.5,4.1,0.606,0.8,1.3,0.645,2.0,4.5,6.5,1.4,0.7,1.3,0.9,4.6,10.3,Columbia,South Carolina,2100000
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,Jae Crowder,29,TOT,58,46,1695,4.2,10.9,0.384,2.4,7.5,0.318,1.8,3.4,0.532,2.0,2.6,0.785,1.0,6.5,7.5,3.2,1.4,0.4,1.3,2.7,12.8,Villa Rica,Georgia,7815533
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,Jarrett Culver,20,MIN,63,35,1506,5.5,13.6,0.404,1.6,5.3,0.299,3.9,8.3,0.471,1.3,2.8,0.462,1.7,3.4,5.1,2.6,1.4,0.9,1.9,3.0,13.9,Dallas,Texas,5813640
115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,Stephen Curry,31,GSW,5,5,139,8.5,21.2,0.402,3.1,12.7,0.245,5.4,8.5,0.636,6.7,6.7,1.0,1.0,5.7,6.7,8.5,1.3,0.5,4.1,2.8,26.9,Akron,Ohio,40231758
116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,Troy Daniels,28,TOT,42,0,457,4.9,12.5,0.39,3.2,8.9,0.354,1.7,3.6,0.478,0.8,1.3,0.625,0.9,2.7,3.6,1.1,0.6,0.2,0.7,2.4,13.7,Roanoke,Virginia,2028594
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,Anthony Davis,26,LAL,55,55,1889,9.7,18.9,0.511,1.2,3.7,0.335,8.4,15.2,0.5539999999999999,7.4,8.7,0.845,2.4,7.5,9.9,3.3,1.6,2.6,2.6,2.6,28.0,Chicago,Illinois,27093019
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,Ed Davis,30,UTA,25,0,268,1.9,4.6,0.412,0.0,0.0,0.0,1.9,4.6,0.412,0.7,1.5,0.455,3.9,8.9,12.8,1.1,1.3,1.2,1.7,7.4,4.4,Washington,District of Columbia,4767000
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,Terence Davis,22,TOR,64,2,1087,6.0,12.9,0.463,2.9,7.4,0.396,3.1,5.6,0.55,1.5,1.7,0.865,1.5,5.7,7.2,3.5,1.1,0.4,2.2,3.4,16.4,Southaven,Mississippi,898310
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,Dewayne Dedmon,30,TOT,44,18,774,4.7,11.9,0.4,1.0,5.0,0.206,3.7,6.9,0.541,1.4,1.7,0.833,2.8,8.8,11.6,1.0,1.2,1.9,2.7,6.2,11.9,Lancaster,California,13333334
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,DeMar DeRozan,30,SAS,61,61,2091,8.7,16.5,0.526,0.1,0.5,0.267,8.5,15.9,0.535,5.8,6.9,0.843,0.7,5.3,5.9,5.9,1.1,0.2,2.5,2.8,23.3,Compton,California,27739975
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,Hamidou Diallo,21,OKC,38,3,699,5.1,11.3,0.452,0.4,1.8,0.2,4.7,9.5,0.5,1.4,2.3,0.622,1.5,4.8,6.3,1.1,1.4,0.4,1.9,4.2,12.0,Queens,New York,1416852
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,Spencer Dinwiddie,26,BRK,64,49,1994,7.7,18.4,0.415,2.2,7.2,0.308,5.4,11.2,0.485,6.3,8.1,0.778,0.6,3.4,4.0,7.8,0.7,0.4,3.1,3.2,23.8,Los Angeles,California,10600000
127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,Donte DiVincenzo,23,MIL,59,22,1362,5.5,11.9,0.462,2.0,5.8,0.344,3.5,6.1,0.5760000000000001,1.6,2.1,0.769,1.6,6.1,7.6,3.6,2.1,0.5,1.9,2.6,14.6,Newark,Delaware,2905800
130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,Damyean Dotson,25,NYK,48,0,836,5.2,12.5,0.414,2.5,7.0,0.362,2.6,5.5,0.48,0.9,1.4,0.667,0.4,3.5,3.9,2.5,1.0,0.2,0.9,1.9,13.8,Houston,Texas,1618520
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,PJ Dozier,23,DEN,21,0,234,5.5,14.0,0.396,1.1,4.3,0.25,4.5,9.7,0.46,1.1,1.7,0.636,0.8,3.8,4.6,4.5,1.1,0.8,1.7,4.2,13.2,Columbia,South Carolina,183115
134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,Andre Drummond,26,TOT,57,56,1879,8.0,15.0,0.5329999999999999,0.1,0.7,0.14300000000000002,7.9,14.4,0.551,3.2,5.6,0.575,4.8,11.8,16.6,2.9,2.1,1.8,3.9,3.9,19.4,Mount Vernon,New York,27093019
